ID;Name;Scholar;Group;W
0;Maxime Lenormand;VSyM8fEAAAAJ;1;1
1;Jose Javier Ramasco;aEdK_vsAAAAJ;1;1
2;Thomas Louail;pZAtLJMAAAAJ;1;1
3;Marc Barthelemy;2UTIVeIAAAAJ;1;1
4;Oliva García Cantú Ros;p3dQlwgAAAAJ;1;1
5;Ricardo Herranz;wbmZMFcAAAAJ;1;1
6;Enrique Frias-Martinez;R3GAd3sAAAAJ;1;1
7;Sylvie Huet;VO7AEbcAAAAJ;1;1
8;Guillaume Deffuant;xwYTdNwAAAAJ;1;1
9;Antonia Tugores;JxoxIlYAAAAJ;1;1
10;Floriana Gargiulo;L93QaKYAAAAJ;1;1
11;Maxi San Miguel;AcDm6B0AAAAJ;1;1
12;Bruno Gonçalves;rtKaL18AAAAJ;1;1
13;Aleix Bassolas;tXaOGyUAAAAJ;1;1
14;Franck Jabot;4YCAAPYAAAAJ;1;1
15;Ronaldo Menezes;eHej2g8AAAAJ;1;1
16;Hugo S Barbosa;dsBgmWgAAAAJ;1;1
17;Gourab Ghoshal;_CNYi6MAAAAJ;1;1
18;Marcello Tomasini;QM5kA_MAAAAJ;1;1
19;Filippo Simini;7cf56rIAAAAJ;1;1
20;Pere Colet;7BDoa9YAAAAJ;1;1
21;Thibaut Dubernet;oP68X_gAAAAJ;1;1
22;Tomás Ruiz;brVkRxcAAAAJ;1;1
23;Maria Henar Salas Olmedo;F6Y9PjoAAAAJ;1;1
24;Fabio Lamanna;QrF76o0AAAAJ;1;1
25;Gustavo Romanillos Arroyo;eEEgIjIAAAAJ;1;1
26;Sandra Luque;GtJ4HDAAAAAJ;1;1
27;Guillaume Papuga;NFHREtgAAAAJ;1;1
28;Pablo Fleurquin;62yXZkoAAAAJ;1;1
29;Victor M Eguiluz;QVPRrksAAAAJ;1;1
30;Ulrike Tappeiner;lZI5BBIAAAAJ;1;1
31;Johannes Langemeyer;zOoWBVkAAAAJ;1;1
32;Juraj Lieskovsky;r5ACMHIAAAAJ;1;1
33;Uta Schirpke;JTMWeZUAAAAJ;1;1
34;Inge Aalders;iYztnbEAAAAJ;1;1
35;Giuca Relu Constantin;GKCZmfQAAAAJ;1;1
36;Leena Kopperoinen;E6hgxfwAAAAJ;1;1
37;Eszter Lelleiné Kovács;LwxjifkAAAAJ;1;1
38;Serban Chivulescu;E_I7icwAAAAJ;1;1
39;Jiska van Dijk;3ierTUEAAAAJ;1;1
40;Mattia Mazzoli;hYLrD30AAAAJ;1;1
41;Andrea Apolloni;OfFpkm0AAAAJ;1;1
42;Renaud Lancelot;OlTcOW4AAAAJ;1;1
43;Camille Jahel;nIJPPHMAAAAJ;1;1
44;Riccardo Gallotti;3XaGvR0AAAAJ;1;1
45;Alexandre G Evsukoff;4iVcAkgAAAAJ;1;1
46;Horacio Samaniego;VeJEo1AAAAAJ;1;1
47;Yuna Chiffoleau;SOe23r4AAAAJ;1;1
48;Olivier Billaud;C5sgahgAAAAJ;1;1
49;Alex Molas Martin;2FccG04AAAAJ;1;1
50;Charlotte James;UbmhyYYAAAAJ;1;1
51;Maxence Soubeyrand;tAPNCJQAAAAJ;1;1
52;Nicolas Dubos;R7md47gAAAAJ;1;1
53;Pierre Denelle;x66knTsAAAAJ;1;1
54;Vinícius da Fonseca Vieira;gp3dwOYAAAAJ;1;1
55;Clémentine Préau;Bp6ocmIAAAAJ;1;1
56;Philip K Roche;H6i6i7QAAAAJ;1;1
